Göstərici,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
İlin əvvəlinə qalıq (ton),8869.0,8410.0,5425.0,5867.0,8457.0,2945.0,2365.0,2308.0,1985.0,2132.0,2066.0,2243.0,2060.0,2135.0,1959.0,1978.0,2429.0
İstehsal (ton),89753.0,85751.0,80766.0,62103.0,65374.0,63812.0,55383.0,43720.0,43475.0,38786.0,40789.0,38798.0,41845.0,37924.0,39088.0,36121.0,37155.0
İdxal (ton),9827.0,9433.0,7649.0,4903.0,8438.0,6792.0,4917.0,4298.0,3641.0,1314.0,2505.0,2926.0,3817.0,3760.0,4383.0,3586.0,2502.0
Ehtiyatların cəmi (ton),108449.0,103594.0,93840.0,72873.0,82269.0,73549.0,62665.0,50326.0,49101.0,42232.0,45360.0,43967.0,47722.0,43819.0,45430.0,41686.0,42086.0
