Göstərici,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
İlin əvvəlinə qalıq (ton),669720.0,700378.0,636193.0,613567.0,572895.0,609384.0,592252.0,534264.0,541666.0,580842.0,553153.0,530217.0,552202.0,590617.0,713766.0,734699.0,770714.0
İstehsal (ton),1010517.0,1074261.0,1061958.0,1037637.0,1004172.0,898914.0,913899.0,902396.0,839795.0,819319.0,992780.0,968545.0,938517.0,953710.0,982979.0,1077114.0,1037317.0
İdxal (ton),186704.0,211828.0,226906.0,189346.0,201294.0,158272.0,168800.0,191204.0,139239.0,143634.0,78054.0,76605.0,76579.0,64998.0,38165.0,49154.0,84627.0
Ehtiyatların cəmi (ton),1866941.0,1986467.0,1925057.0,1840550.0,1778361.0,1666570.0,1674951.0,1627864.0,1520700.0,1543795.0,1623987.0,1575367.0,1567298.0,1609325.0,1734910.0,1860967.0,1892658.0
