Göstərici,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
İlin əvvəlinə qalıq (ton),281259.0,325665.0,567392.0,864010.0,706931.0,829824.0,1025631.0,875248.0,856804.0,1229652.0,1067576.0,821177.0,749563.0,901740.0,720901.0,460462.0,454986.0
İstehsal (ton),1792419.0,1690832.0,1837188.0,1818665.0,2114139.0,1991683.0,1769574.0,1799859.0,1639830.0,1407405.0,1841307.0,1797028.0,1594394.0,1272340.0,2096203.0,1645792.0,1305458.0
İdxal (ton),1175341.0,1292996.0,1148101.0,1365100.0,1584998.0,1080906.0,1274434.0,1599599.0,1353072.0,1195656.0,1451257.0,1366335.0,1166572.0,1330017.0,931239.0,1309285.0,1411580.0
Ehtiyatların cəmi (ton),3249019.0,3309493.0,3552681.0,4047775.0,4406068.0,3902413.0,4069639.0,4274706.0,3849706.0,3832713.0,4360140.0,3984540.0,3510529.0,3504097.0,3748343.0,3415539.0,3172024.0
