Göstərici,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
İlin əvvəlinə qalıq (ton),129254.0,125723.0,118778.0,106764.0,95064.0,95393.0,80851.0,79579.0,75427.0,77601.0,74661.0,73574.0,69303.0,67104.0,72567.0,71823.0,70382.0
İstehsal (ton),845525.0,826493.0,807347.0,774877.0,697817.0,609179.0,624198.0,502769.0,515160.0,481395.0,500686.0,471612.0,463244.0,434036.0,424834.0,468016.0,464511.0
İdxal (ton),6418.0,5311.0,5246.0,4765.0,3862.0,4858.0,6839.0,21021.0,3283.0,3893.0,3763.0,11986.0,16516.0,16044.0,3377.0,1708.0,1099.0
Ehtiyatların cəmi (ton),981197.0,957527.0,931371.0,886406.0,796743.0,709430.0,711888.0,603369.0,593870.0,562889.0,579110.0,557172.0,549063.0,517184.0,500778.0,535992.0,535992.0
