Göstərici,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
İlin əvvəlinə qalıq (ton),317893.0,313037.0,275222.0,263922.0,219804.0,205223.0,203338.0,189282.0,179484.0,196990.0,199515.0,206299.0,199434.0,201800.0,189938.0,184520.0,175509.0
İstehsal (ton),1825592.0,1823330.0,1815512.0,1738860.0,1714678.0,1521931.0,1405619.0,1270622.0,1275257.0,1187681.0,1236331.0,1216240.0,1214758.0,1189465.0,1178595.0,1228312.0,1227350.0
İdxal (ton),58453.0,54638.0,63951.0,56037.0,39806.0,36794.0,45917.0,61184.0,41984.0,38765.0,37752.0,69952.0,121117.0,84921.0,50207.0,26849.0,68033.0
Ehtiyatların cəmi (ton),2201938.0,2191005.0,2154685.0,2058819.0,1974288.0,1763948.0,1654874.0,1521088.0,1496725.0,1423436.0,1473598.0,1492491.0,1535309.0,1476186.0,1418740.0,1439681.0,1470892.0
