Göstərici,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
İlin əvvəlinə qalıq (ton),55038.0,57083.0,48984.0,43872.0,23519.0,11963.0,28540.0,19287.0,28958.0,25855.0,26828.0,29744.0,32040.0,31250.0,27188.0,26413.0,25123.0
İstehsal (ton),310259.0,275195.0,286375.0,274884.0,267229.0,235470.0,207497.0,178249.0,179047.0,169054.0,157665.0,166183.0,182447.0,171571.0,168814.0,184669.0,191055.0
İdxal (ton),2401.0,406.0,12432.0,13533.0,3778.0,167.0,63.0,13282.0,3163.0,18998.0,6492.0,2245.0,5224.0,16488.0,12916.0,353.0,9103.0
Ehtiyatların cəmi (ton),367698.0,332684.0,347791.0,332289.0,294526.0,247600.0,236100.0,210818.0,211168.0,213907.0,190985.0,198172.0,219711.0,219309.0,208918.0,211435.0,225281.0
