Göstərici,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
İlin əvvəlinə qalıq (ton),3620.0,3609.0,5291.0,5180.0,5145.0,4875.0,1543.0,1673.0,3890.0,4211.0,4156.0,2954.0,3400.0,3714.0,3484.0,3590.0,5608.0
İstehsal (ton),152787.0,148568.0,145041.0,143082.0,137929.0,135620.0,132902.0,130984.0,129753.0,122370.0,120799.0,118410.0,115471.0,112361.0,102331.0,100539.0,98444.0
İdxal (ton),20207.0,11333.0,12833.0,20715.0,22362.0,23833.0,21243.0,9245.0,12404.0,18398.0,20703.0,11355.0,16972.0,6513.0,5787.0,6465.0,5620.0
Ehtiyatların cəmi (ton),176614.0,163510.0,163165.0,168977.0,165436.0,164328.0,155688.0,141902.0,146047.0,144979.0,145658.0,132719.0,135843.0,122588.0,111602.0,110594.0,109672.0
