Göstərici,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
İlin əvvəlinə qalıq (ton),1291.0,1256.0,2460.0,2400.0,2267.0,2198.0,1068.0,1011.0,1837.0,2105.0,1948.0,1377.0,1714.0,1779.0,1735.0,1787.0,2981.0
İstehsal (ton),88946.0,89055.0,87647.0,87058.0,85300.0,80800.0,79092.0,75254.0,70940.0,68760.0,70926.0,70366.0,70099.0,69984.0,64776.0,61090.0,57890.0
İdxal (ton),4793.0,2728.0,1627.0,2429.0,2105.0,1700.0,1973.0,994.0,482.0,1487.0,1692.0,1036.0,114.0,194.0,860.0,84.0,124.0
Ehtiyatların cəmi (ton),95030.0,93039.0,91734.0,91887.0,89672.0,84698.0,82133.0,77259.0,73259.0,72352.0,74566.0,72779.0,71927.0,71957.0,67371.0,62961.0,60995.0
