Göstərici,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
İlin əvvəlinə qalıq (ton),2294.0,2257.0,2171.0,2114.0,1788.0,1610.0,1525.0,1644.0,1458.0,1522.0,1556.0,1481.0,1628.0,1110.0,1016.0,1268.0,645.0
İstehsal (ton),224517.0,212645.0,209843.0,208019.0,201842.0,167591.0,152843.0,136499.0,157076.0,147701.0,148535.0,150987.0,137038.0,129536.0,129159.0,115822.0,103363.0
İdxal (ton),24644.0,23890.0,22973.0,15848.0,16417.0,16900.0,13259.0,20623.0,13642.0,3643.0,9385.0,9492.0,15534.0,14764.0,13478.0,8633.0,7052.0
Ehtiyatların cəmi (ton),251455.0,238792.0,234987.0,225981.0,220047.0,186101.0,167627.0,158766.0,172176.0,152866.0,159476.0,161960.0,154200.0,145410.0,143653.0,125723.0,111060.0
    
